                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49287,                 0.4639,                0.74992,                0.94187,                0.92545,                0.96787,                0.87062,                 0.4415,                0.37935,                0.72575,               0.002612,               0.002612,               0.002612
                     37,                0.49058,                0.46101,                0.75008,                0.93806,                0.92767,                0.96646,                0.86932,                0.44015,                0.37874,                 0.7251,               0.002453,               0.002453,               0.002453
                     38,                0.48722,                0.45159,                0.74858,                0.94275,                0.92252,                0.96732,                0.86915,                0.44012,                0.38013,                 0.7254,              0.0022939,              0.0022939,              0.0022939
                     39,                0.48708,                0.44876,                0.74787,                0.94885,                0.92865,                0.96938,                0.87525,                0.43079,                0.36633,                0.72394,              0.0021349,              0.0021349,              0.0021349
                     40,                0.47631,                0.43764,                0.74444,                0.93998,                0.92893,                  0.968,                0.87351,                0.42907,                0.36892,                0.72384,              0.0019758,              0.0019758,              0.0019758
                     41,                0.47413,                0.40152,                0.73908,                  0.945,                 0.9208,                0.96743,                0.87662,                0.42538,                0.37524,                0.72346,              0.0018168,              0.0018168,              0.0018168
                     42,                0.46649,                0.39547,                0.73825,                0.94658,                0.92843,                0.96925,                0.87872,                0.41958,                0.36553,                0.72339,              0.0016577,              0.0016577,              0.0016577
                     43,                0.46311,                0.39042,                0.73718,                0.94012,                0.92877,                0.96896,                0.87925,                0.41488,                0.36101,                0.72178,              0.0014986,              0.0014986,              0.0014986
                     44,                0.45823,                0.38471,                0.73619,                0.94445,                0.92944,                0.96919,                0.88018,                 0.4189,                 0.3593,                0.72142,              0.0013396,              0.0013396,              0.0013396
                     45,                0.45446,                0.37772,                0.73722,                 0.9457,                0.93062,                0.96907,                 0.8793,                0.41433,                0.35461,                0.72182,              0.0011805,              0.0011805,              0.0011805
                     46,                0.44985,                0.37524,                0.73426,                0.95251,                0.92635,                0.97051,                0.88381,                0.41083,                0.35222,                0.72039,              0.0010215,              0.0010215,              0.0010215
                     47,                0.44324,                0.36492,                 0.7338,                0.95479,                  0.926,                0.97158,                0.88744,                0.40426,                0.34544,                0.71992,             0.00086241,             0.00086241,             0.00086241
                     48,                0.44085,                0.36144,                 0.7324,                 0.9478,                0.93234,                0.97073,                0.88732,                0.40161,                 0.3399,                0.71925,             0.00070336,             0.00070336,             0.00070336
                     49,                0.43599,                0.35471,                0.73323,                0.94858,                0.93305,                0.97178,                0.88875,                0.40078,                0.33794,                0.71915,              0.0005443,              0.0005443,              0.0005443
                     50,                0.43273,                 0.3505,                0.73233,                0.94481,                0.93897,                0.97255,                0.88967,                0.39877,                0.33446,                0.71835,             0.00038524,             0.00038524,             0.00038524
